"metric","value"
"sim_t1",8000
"sim_dt_assumed_1",1
"drift_start_time",2000
"c2_start",0.06
"c2_end",0.18
"transition_t_star",3905
"rollsd_window_w",300
"threshold_k",3
"simplex_E",3
"simplex_tau",1
"simplex_rho_h1",0.999947932665611
"simplex_rho_h10",0.9975379555667
"smap_E",3
"smap_theta_opt",0
"smap_rho_theta0",0.999997155569104
"smap_rho_thetaopt",0.999997155569104
"windowed_window",800
"windowed_step",50
"windowed_theiler",50
"ew_kendall_rho",0.142857142857143
"ew_kendall_theta",0
"ew_kendall_delta_rho",-0.109108945117996
"ew_kendall_b_median",0.0714285714285714
"ew_kendall_b_sd",-0.5
"ew_mean_advance_time",1256
"ew_theta_threshold",7.39
"ew_delta_rho_threshold",0.00304903379261134
